date,pf_close,gd_close
2017-01-03,9.41,3.48
2017-01-04,9.43,3.48
2017-01-05,9.41,3.47
2017-01-06,9.34,3.46
2017-01-09,9.35,3.46
2017-01-10,9.35,3.45
2017-01-11,9.33,3.45
2017-01-12,9.3,3.43
2017-01-13,9.39,3.46
2017-01-16,9.56,3.5
2017-01-17,9.47,3.49
2017-01-18,9.51,3.52
2017-01-19,9.55,3.51
2017-01-20,9.58,3.53
2017-01-23,9.56,3.53
2017-01-24,9.63,3.58
2017-01-25,9.63,3.58
2017-01-26,9.66,3.6
2017-02-03,9.6,3.55
2017-02-06,9.62,3.56
2017-02-07,9.62,3.55
2017-02-08,9.62,3.57
2017-02-09,9.65,3.58
2017-02-10,9.69,3.6
2017-02-13,9.73,3.64
2017-02-14,9.67,3.63
2017-02-15,9.72,3.65
2017-02-16,9.69,3.67
2017-02-17,9.61,3.62
2017-02-20,9.76,3.69
2017-02-21,9.74,3.69
2017-02-22,9.67,3.69
2017-02-23,9.63,3.69
2017-02-24,9.65,3.67
2017-02-27,9.58,3.66
2017-02-28,9.58,3.66
2017-03-01,9.56,3.71
2017-03-02,9.47,3.69
2017-03-03,9.44,3.67
2017-03-06,9.47,3.65
2017-03-07,9.48,3.67
2017-03-08,9.46,3.66
2017-03-09,9.36,3.62
2017-03-10,9.37,3.65
2017-03-13,9.43,3.72
2017-03-14,9.39,3.73
2017-03-15,9.37,3.76
2017-03-16,9.4,3.75
2017-03-17,9.35,3.63
2017-03-20,9.32,3.63
2017-03-21,9.24,3.62
2017-03-22,9.11,3.56
2017-03-23,9.17,3.56
2017-03-24,9.21,3.57
2017-03-27,9.26,3.61
2017-03-28,9.24,3.61
2017-03-29,9.16,3.6
2017-03-30,9.13,3.61
2017-03-31,9.24,3.62
2017-04-05,9.33,3.62
2017-04-06,9.29,3.6
2017-04-07,9.29,3.59
2017-04-10,9.22,3.57
2017-04-11,9.17,3.56
2017-04-12,9.17,3.55
2017-04-13,9.09,3.54
2017-04-14,8.95,3.53
2017-04-17,8.98,3.51
2017-04-18,8.83,3.47
2017-04-19,8.72,3.42
2017-04-20,8.61,3.41
2017-04-21,8.69,3.43
2017-04-24,8.66,3.42
2017-04-25,8.69,3.43
2017-04-26,8.69,3.42
2017-04-27,8.78,3.4
2017-04-28,8.78,3.4
2017-05-02,8.75,3.39
2017-05-03,8.7,3.41
2017-05-04,8.65,3.4
2017-05-05,8.61,3.4
2017-05-08,8.58,3.4
2017-05-09,8.52,3.41
2017-05-10,8.43,3.43
2017-05-11,8.51,3.44
2017-05-12,8.78,3.5
2017-05-15,8.81,3.49
2017-05-16,8.81,3.47
2017-05-17,8.78,3.44
2017-05-18,8.66,3.4
2017-05-19,8.67,3.4
2017-05-22,8.68,3.39
2017-05-23,8.91,3.45
2017-05-24,8.93,3.41
2017-05-25,9.82,3.51
2017-05-26,9.75,3.5
2017-05-31,9.75,3.52
2017-06-01,9.81,3.54
2017-06-02,9.79,3.55
2017-06-05,9.76,3.5
2017-06-06,9.72,3.49
2017-06-07,9.75,3.5
2017-06-08,9.75,3.5
2017-06-09,9.82,3.52
2017-06-12,9.7,3.5
2017-06-13,9.56,3.49
2017-06-14,9.46,3.48
2017-06-15,9.4,3.47
2017-06-16,9.38,3.47
2017-06-19,9.42,3.48
2017-06-20,9.33,3.48
2017-06-21,9.37,3.49
2017-06-22,9.54,3.52
2017-06-23,9.6,3.53
2017-06-26,9.6,3.52
2017-06-27,9.64,3.54
2017-06-28,9.71,3.56
2017-06-29,9.69,3.57
2017-06-30,9.61,3.57
2017-07-03,9.54,3.56
2017-07-04,9.53,3.55
2017-07-05,9.58,3.57
2017-07-06,9.61,3.59
2017-07-07,9.57,3.57
2017-07-10,9.51,3.58
2017-07-11,9.72,3.63
2017-07-12,9.76,3.68
2017-07-13,10.08,3.72
2017-07-14,10.32,3.78
2017-07-17,10.45,3.91
2017-07-18,10.29,3.89
2017-07-19,10.4,3.89
2017-07-20,10.34,3.9
2017-07-21,10.21,3.85
2017-07-24,10.38,3.86
2017-07-25,10.26,3.86
2017-07-26,10.16,3.88
2017-07-27,10.16,3.83
2017-07-28,10.23,3.82
2017-07-31,10.14,3.82
2017-08-01,10.2,3.85
2017-08-02,10.21,3.89
2017-08-03,9.93,3.84
2017-08-04,9.77,3.79
2017-08-07,9.82,3.78
2017-08-08,9.77,3.78
2017-08-09,9.69,3.73
2017-08-10,9.71,3.71
2017-08-11,9.63,3.71
2017-08-14,9.54,3.68
2017-08-15,9.56,3.7
2017-08-16,9.48,3.67
2017-08-17,9.51,3.71
2017-08-18,9.5,3.71
2017-08-21,9.5,3.69
2017-08-22,9.44,3.7
2017-08-23,9.54,3.71
2017-08-24,9.47,3.68
2017-08-25,9.7,3.8
2017-08-28,9.79,3.83
2017-08-29,9.84,3.87
2017-08-30,9.77,3.82
2017-08-31,9.65,3.8
2017-09-01,9.7,3.75
2017-09-04,9.7,3.8
2017-09-05,9.89,3.82
2017-09-06,9.84,3.8
2017-09-07,9.76,3.77
2017-09-08,9.89,3.75
2017-09-11,9.86,3.76
2017-09-12,9.9,3.77
2017-09-13,9.77,3.74
2017-09-14,9.76,3.73
2017-09-15,9.74,3.71
2017-09-18,9.8,3.7
2017-09-19,9.8,3.71
2017-09-20,9.78,3.7
2017-09-21,9.77,3.72
2017-09-22,9.79,3.72
2017-09-25,9.83,3.72
2017-09-26,9.77,3.71
2017-09-27,9.76,3.69
2017-09-28,9.75,3.68
2017-09-29,9.77,3.66
2017-10-09,9.9,3.71
2017-10-10,9.95,3.71
2017-10-11,9.92,3.71
2017-10-12,9.91,3.71
2017-10-13,9.83,3.71
2017-10-16,9.9,3.73
2017-10-17,9.86,3.71
2017-10-18,9.92,3.73
2017-10-19,9.97,3.74
2017-10-20,9.88,3.71
2017-10-23,9.75,3.67
2017-10-24,9.77,3.68
2017-10-25,9.8,3.68
2017-10-26,9.73,3.67
2017-10-27,9.76,3.68
2017-10-30,9.64,3.66
2017-10-31,9.58,3.65
2017-11-01,9.52,3.64
2017-11-02,9.51,3.64
2017-11-03,9.55,3.64
2017-11-06,9.47,3.61
2017-11-07,9.52,3.66
2017-11-08,9.55,3.66
2017-11-09,9.53,3.63
2017-11-10,9.59,3.61
2017-11-13,9.72,3.67
2017-11-14,9.57,3.64
2017-11-15,9.57,3.63
2017-11-16,9.41,3.62
2017-11-17,9.7,3.7
2017-11-20,9.76,3.71
2017-11-21,9.83,3.71
2017-11-22,10.05,3.82
2017-11-23,9.92,3.78
2017-11-24,9.94,3.78
2017-11-27,9.95,3.78
2017-11-28,9.83,3.74
2017-11-29,9.83,3.73
2017-11-30,9.8,3.78
2017-12-01,9.8,3.78
2017-12-04,9.81,3.78
2017-12-05,10.0,3.84
2017-12-06,9.84,3.8
2017-12-07,9.84,3.8
2017-12-08,9.82,3.77
